Month,Timestamp,Source IP,Target Asset,Attack Type,Bandwidth (Gbps),Duration (min),Status
November,2025-01-10 09:03:00,129.163.38.64,Web-Gateway-4,UDP Flood,34.32,6,Mitigated
November,2025-01-14 00:07:00,210.207.184.177,Web-Gateway-3,UDP Flood,39.94,4,Mitigated
November,2025-01-12 10:24:00,148.196.240.195,Web-Gateway-1,UDP Flood,36.61,7,Partial
November,2025-01-09 21:27:00,95.171.176.217,Web-Gateway-5,SYN Flood,33.97,6,Mitigated
November,2025-01-06 16:50:00,126.158.171.3,Web-Gateway-5,SYN Flood,29.07,3,Mitigated
November,2025-01-28 03:48:00,51.173.123.80,Web-Gateway-1,UDP Flood,30.16,8,Partial
November,2025-01-08 03:42:00,191.216.47.62,Web-Gateway-4,SYN Flood,34.39,7,Partial
November,2025-01-13 00:05:00,4.59.115.192,Web-Gateway-3,SYN Flood,27.29,4,Mitigated
November,2025-01-23 14:12:00,222.66.53.17,Web-Gateway-3,SYN Flood,25.9,6,Mitigated
November,2025-01-16 03:26:00,3.24.242.91,Web-Gateway-5,SYN Flood,27.67,5,Mitigated
November,2025-01-19 02:22:00,82.23.153.136,Web-Gateway-1,UDP Flood,37.56,7,Partial
November,2025-01-23 22:26:00,21.249.163.175,Web-Gateway-2,UDP Flood,17.57,7,Partial
November,2025-01-24 22:39:00,143.158.168.34,Web-Gateway-5,SYN Flood,24.62,9,Partial
November,2025-01-25 02:51:00,22.14.82.78,Web-Gateway-4,UDP Flood,29.13,4,Mitigated
November,2025-01-22 16:38:00,104.85.82.3,Web-Gateway-1,SYN Flood,37.91,1,Mitigated
November,2025-01-23 17:28:00,119.237.114.127,Web-Gateway-1,UDP Flood,28.77,5,Mitigated
November,2025-01-19 07:17:00,139.165.158.22,Web-Gateway-5,UDP Flood,20.18,4,Mitigated
November,2025-01-06 16:51:00,114.162.82.144,Web-Gateway-1,SYN Flood,26.23,5,Mitigated
November,2025-01-16 02:01:00,223.233.185.81,Web-Gateway-5,SYN Flood,18.03,8,Partial
November,2025-01-25 11:59:00,121.148.145.208,Web-Gateway-4,UDP Flood,23.3,3,Mitigated
November,2025-01-28 22:43:00,50.21.87.16,Web-Gateway-1,SYN Flood,25.2,10,Partial
November,2025-01-08 10:33:00,219.44.91.136,Web-Gateway-2,SYN Flood,37.14,3,Mitigated
November,2025-01-08 22:14:00,168.145.51.247,Web-Gateway-4,SYN Flood,39.06,4,Mitigated
November,2025-01-03 03:53:00,204.77.159.30,Web-Gateway-2,UDP Flood,16.94,4,Mitigated
November,2025-01-27 07:11:00,23.24.255.17,Web-Gateway-5,SYN Flood,18.15,4,Mitigated
November,2025-01-28 06:58:00,246.91.18.249,Web-Gateway-2,UDP Flood,36.69,5,Mitigated
November,2025-01-24 15:57:00,44.198.240.90,Web-Gateway-5,SYN Flood,27.27,8,Partial
November,2025-01-07 00:18:00,235.230.248.209,Web-Gateway-2,UDP Flood,30.75,1,Mitigated
November,2025-01-24 13:27:00,180.239.175.16,Web-Gateway-1,UDP Flood,33.89,3,Mitigated
November,2025-01-06 00:28:00,234.139.245.210,Web-Gateway-3,SYN Flood,20.96,6,Mitigated
November,2025-01-24 05:51:00,125.113.39.241,Web-Gateway-2,UDP Flood,30.51,4,Mitigated
November,2025-01-17 07:37:00,217.196.116.163,Web-Gateway-5,UDP Flood,35.7,5,Mitigated
November,2025-01-09 15:28:00,159.155.185.231,Web-Gateway-5,UDP Flood,16.67,8,Partial
November,2025-01-06 01:38:00,38.59.248.188,Web-Gateway-1,UDP Flood,34.35,2,Mitigated
November,2025-01-22 16:24:00,21.141.219.80,Web-Gateway-1,SYN Flood,33.55,3,Mitigated
November,2025-01-12 10:30:00,218.194.219.211,Web-Gateway-3,SYN Flood,31.84,6,Mitigated
November,2025-01-12 03:30:00,61.71.94.146,Web-Gateway-3,UDP Flood,33.72,9,Partial
November,2025-01-16 12:36:00,95.188.72.110,Web-Gateway-5,SYN Flood,19.96,4,Mitigated
November,2025-01-19 02:57:00,41.193.156.141,Web-Gateway-2,UDP Flood,22.64,3,Mitigated
November,2025-01-07 21:41:00,148.77.93.83,Web-Gateway-2,UDP Flood,34.6,10,Partial
November,2025-01-24 00:33:00,46.144.149.210,Web-Gateway-3,UDP Flood,27.79,5,Mitigated
November,2025-01-10 16:31:00,197.155.12.55,Web-Gateway-4,UDP Flood,38.21,9,Partial
November,2025-01-25 01:37:00,85.81.40.163,Web-Gateway-1,SYN Flood,25.51,6,Mitigated
November,2025-01-14 18:07:00,175.159.234.116,Web-Gateway-4,SYN Flood,24.62,5,Mitigated
November,2025-01-15 22:45:00,185.207.31.229,Web-Gateway-4,SYN Flood,19.31,7,Partial
November,2025-01-20 18:15:00,68.68.99.44,Web-Gateway-2,SYN Flood,28.48,5,Mitigated
November,2025-01-03 23:37:00,232.53.121.93,Web-Gateway-5,UDP Flood,34.6,5,Mitigated
November,2025-01-14 00:50:00,36.176.180.175,Web-Gateway-1,UDP Flood,39.8,6,Mitigated
December,2025-02-21 20:34:00,195.76.114.21,Web-Gateway-2,HTTP Flood,34.47,8,Partial
December,2025-02-04 19:14:00,121.216.2.68,Web-Gateway-5,HTTP Flood,34.71,8,Partial
December,2025-02-09 19:51:00,124.84.173.224,Web-Gateway-3,HTTP Flood,45.31,10,Partial
December,2025-02-15 10:20:00,37.210.194.172,Web-Gateway-4,HTTP Flood,36.01,3,Mitigated
December,2025-02-28 10:09:00,144.105.139.126,Web-Gateway-4,HTTP Flood,38.96,3,Mitigated
December,2025-02-06 19:53:00,71.65.211.76,Web-Gateway-3,HTTP Flood,36.5,7,Mitigated
December,2025-02-19 06:01:00,25.110.32.21,Web-Gateway-4,HTTP Flood,45.77,5,Mitigated
December,2025-02-18 22:56:00,155.107.97.65,Web-Gateway-2,HTTP Flood,32.53,8,Partial
December,2025-02-08 14:30:00,253.235.106.131,Web-Gateway-5,HTTP Flood,29.66,7,Mitigated
December,2025-02-10 00:58:00,92.129.254.31,Web-Gateway-1,HTTP Flood,32.1,3,Mitigated
December,2025-02-28 23:32:00,99.196.90.213,Web-Gateway-3,HTTP Flood,51.92,8,Partial
December,2025-02-20 17:50:00,224.98.149.205,Web-Gateway-1,HTTP Flood,47.64,7,Mitigated
December,2025-02-19 20:14:00,200.228.25.39,Web-Gateway-3,HTTP Flood,41.05,5,Mitigated
December,2025-02-08 00:03:00,208.108.151.60,Web-Gateway-1,HTTP Flood,49.86,9,Partial
December,2025-02-03 07:46:00,248.93.35.16,Web-Gateway-2,HTTP Flood,48.71,6,Mitigated
December,2025-02-13 17:39:00,198.164.135.78,Web-Gateway-2,HTTP Flood,32.89,6,Mitigated
December,2025-02-21 15:48:00,250.164.205.79,Web-Gateway-3,HTTP Flood,31.92,5,Mitigated
December,2025-02-20 19:11:00,208.72.185.222,Web-Gateway-4,HTTP Flood,38.46,9,Partial
December,2025-02-10 18:39:00,231.110.245.24,Web-Gateway-4,HTTP Flood,44.9,6,Mitigated
December,2025-02-24 16:51:00,121.86.231.30,Web-Gateway-4,HTTP Flood,29.05,9,Partial
December,2025-02-15 10:16:00,149.67.209.26,Web-Gateway-1,HTTP Flood,36.54,10,Partial
December,2025-02-10 03:47:00,96.183.193.155,Web-Gateway-3,HTTP Flood,27.23,7,Mitigated
December,2025-02-05 20:57:00,54.175.26.67,Web-Gateway-1,HTTP Flood,39.49,5,Mitigated
December,2025-02-16 21:20:00,105.237.114.143,Web-Gateway-3,HTTP Flood,48.5,6,Mitigated
December,2025-02-03 02:09:00,17.107.223.36,Web-Gateway-1,HTTP Flood,46.07,5,Mitigated
December,2025-02-12 13:14:00,50.27.43.219,Web-Gateway-4,HTTP Flood,31.65,9,Partial
December,2025-02-20 17:51:00,62.215.108.43,Web-Gateway-4,HTTP Flood,45.49,6,Mitigated
December,2025-02-07 06:05:00,210.104.43.102,Web-Gateway-5,HTTP Flood,22.87,7,Mitigated
December,2025-02-17 14:41:00,40.124.104.49,Web-Gateway-5,HTTP Flood,37.17,5,Mitigated
December,2025-02-11 10:12:00,21.139.221.128,Web-Gateway-5,HTTP Flood,44.07,10,Partial
December,2025-02-11 14:34:00,218.80.141.25,Web-Gateway-5,HTTP Flood,45.26,2,Mitigated
December,2025-02-23 01:30:00,205.196.57.94,Web-Gateway-1,HTTP Flood,36.19,10,Partial
December,2025-02-24 17:22:00,170.102.211.112,Web-Gateway-4,HTTP Flood,42.6,7,Mitigated
December,2025-02-28 14:50:00,207.77.66.52,Web-Gateway-4,HTTP Flood,23.67,8,Partial
December,2025-02-28 17:21:00,33.237.151.125,Web-Gateway-2,HTTP Flood,38.06,6,Mitigated
December,2025-02-28 06:32:00,17.31.65.23,Web-Gateway-3,HTTP Flood,52.29,8,Partial
December,2025-02-08 20:33:00,231.50.119.82,Web-Gateway-4,HTTP Flood,47.96,7,Mitigated
December,2025-02-24 06:47:00,55.113.111.148,Web-Gateway-5,HTTP Flood,35.91,6,Mitigated
December,2025-02-24 05:24:00,56.95.4.191,Web-Gateway-2,HTTP Flood,48.07,2,Mitigated
December,2025-02-27 04:10:00,188.120.189.111,Web-Gateway-5,HTTP Flood,38.13,8,Partial
December,2025-02-10 00:59:00,115.47.185.51,Web-Gateway-5,HTTP Flood,36.1,4,Mitigated
December,2025-02-19 20:28:00,52.78.221.150,Web-Gateway-1,HTTP Flood,43.0,2,Mitigated
December,2025-02-14 04:29:00,19.237.102.210,Web-Gateway-4,HTTP Flood,35.29,7,Mitigated
December,2025-02-15 08:52:00,57.73.146.33,Web-Gateway-3,HTTP Flood,36.46,7,Mitigated
December,2025-02-02 02:10:00,184.144.113.56,Web-Gateway-1,HTTP Flood,33.72,7,Mitigated
December,2025-02-08 07:27:00,149.160.229.43,Web-Gateway-2,HTTP Flood,22.98,8,Partial
December,2025-02-06 20:16:00,64.213.255.5,Web-Gateway-5,HTTP Flood,27.5,7,Mitigated
December,2025-02-24 15:11:00,112.78.68.73,Web-Gateway-2,HTTP Flood,41.99,7,Mitigated
December,2025-02-08 01:00:00,181.215.86.213,Web-Gateway-4,HTTP Flood,39.43,11,Partial
December,2025-02-25 12:32:00,235.26.70.52,Web-Gateway-3,HTTP Flood,46.22,4,Mitigated
December,2025-02-26 16:01:00,74.36.134.86,Web-Gateway-5,HTTP Flood,35.92,7,Mitigated
December,2025-02-09 07:41:00,134.219.180.163,Web-Gateway-1,HTTP Flood,48.12,7,Mitigated
December,2025-02-22 05:28:00,228.190.237.240,Web-Gateway-3,HTTP Flood,29.73,5,Mitigated
December,2025-02-08 01:26:00,178.130.50.41,Web-Gateway-1,HTTP Flood,29.15,5,Mitigated
December,2025-02-01 08:47:00,243.185.146.24,Web-Gateway-1,HTTP Flood,50.55,5,Mitigated
December,2025-02-08 09:32:00,243.175.44.219,Web-Gateway-3,HTTP Flood,43.11,3,Mitigated
December,2025-02-09 11:16:00,232.2.203.10,Web-Gateway-5,HTTP Flood,33.35,7,Mitigated
December,2025-02-11 20:41:00,61.68.138.115,Web-Gateway-3,HTTP Flood,44.22,8,Partial
December,2025-02-02 06:58:00,228.217.195.76,Web-Gateway-2,HTTP Flood,45.06,5,Mitigated
December,2025-02-17 11:37:00,151.229.147.184,Web-Gateway-5,HTTP Flood,49.26,3,Mitigated
December,2025-02-05 20:50:00,16.125.189.189,Web-Gateway-4,HTTP Flood,53.44,11,Partial
December,2025-02-05 12:12:00,202.244.91.62,Web-Gateway-1,HTTP Flood,32.62,9,Partial
December,2025-02-26 17:08:00,166.78.159.247,Web-Gateway-4,HTTP Flood,39.52,7,Mitigated
December,2025-02-09 19:32:00,170.75.15.28,Web-Gateway-4,HTTP Flood,37.07,5,Mitigated
December,2025-02-11 12:50:00,5.210.111.136,Web-Gateway-1,HTTP Flood,25.72,2,Mitigated
December,2025-02-22 13:28:00,139.186.5.129,Web-Gateway-2,HTTP Flood,33.48,5,Mitigated
December,2025-02-01 05:13:00,16.26.7.93,Web-Gateway-5,HTTP Flood,38.44,6,Mitigated
December,2025-02-27 01:48:00,17.78.87.35,Web-Gateway-1,HTTP Flood,52.05,4,Mitigated
December,2025-02-28 04:47:00,18.231.210.56,Web-Gateway-4,HTTP Flood,32.22,9,Partial
December,2025-02-19 13:15:00,20.98.249.42,Web-Gateway-2,HTTP Flood,38.53,9,Partial
December,2025-02-09 05:35:00,43.17.83.55,Web-Gateway-1,HTTP Flood,29.93,7,Mitigated
December,2025-02-13 09:28:00,214.254.183.94,Web-Gateway-2,HTTP Flood,51.13,8,Partial
December,2025-02-09 12:21:00,146.19.142.74,Web-Gateway-5,HTTP Flood,46.7,4,Mitigated
December,2025-02-04 07:15:00,173.213.226.162,Web-Gateway-3,HTTP Flood,29.63,5,Mitigated
December,2025-02-05 00:36:00,145.73.75.159,Web-Gateway-5,HTTP Flood,36.18,4,Mitigated
December,2025-02-24 00:56:00,188.240.227.249,Web-Gateway-1,HTTP Flood,37.16,8,Partial
December,2025-02-09 10:18:00,117.80.97.138,Web-Gateway-4,HTTP Flood,42.93,6,Mitigated
December,2025-02-25 20:05:00,102.10.132.184,Web-Gateway-4,HTTP Flood,26.93,9,Partial
December,2025-02-05 08:23:00,97.15.93.98,Web-Gateway-4,HTTP Flood,26.75,6,Mitigated
December,2025-02-11 01:55:00,67.201.233.185,Web-Gateway-4,HTTP Flood,35.56,8,Partial
December,2025-02-25 01:54:00,120.126.37.55,Web-Gateway-5,HTTP Flood,39.86,8,Partial
December,2025-02-25 23:40:00,6.36.42.50,Web-Gateway-1,HTTP Flood,41.33,9,Partial
December,2025-02-25 07:53:00,137.75.253.61,Web-Gateway-1,HTTP Flood,39.01,7,Mitigated
December,2025-02-28 06:37:00,154.243.26.166,Web-Gateway-5,HTTP Flood,40.6,8,Partial
December,2025-02-27 02:14:00,87.70.111.164,Web-Gateway-5,HTTP Flood,49.15,4,Mitigated
December,2025-02-25 17:05:00,98.239.51.254,Web-Gateway-1,HTTP Flood,44.21,4,Mitigated
December,2025-02-27 04:00:00,242.130.11.99,Web-Gateway-3,HTTP Flood,39.32,6,Mitigated
December,2025-02-11 09:59:00,214.24.192.142,Web-Gateway-2,HTTP Flood,42.37,7,Mitigated
December,2025-02-08 15:00:00,174.17.149.50,Web-Gateway-3,HTTP Flood,48.95,7,Mitigated
December,2025-02-03 23:28:00,200.13.67.214,Web-Gateway-3,HTTP Flood,48.37,3,Mitigated
December,2025-02-06 16:31:00,58.26.242.112,Web-Gateway-5,HTTP Flood,23.6,4,Mitigated
December,2025-02-01 07:08:00,14.127.146.23,Web-Gateway-4,HTTP Flood,48.16,9,Partial
December,2025-02-23 21:48:00,74.210.90.186,Web-Gateway-1,HTTP Flood,49.91,3,Mitigated
December,2025-02-20 17:53:00,189.42.9.59,Web-Gateway-1,HTTP Flood,50.62,8,Partial
December,2025-02-12 14:48:00,157.123.114.193,Web-Gateway-2,HTTP Flood,33.48,5,Mitigated
December,2025-02-14 09:16:00,145.147.43.92,Web-Gateway-1,HTTP Flood,38.18,6,Mitigated
December,2025-02-19 19:20:00,112.23.92.132,Web-Gateway-5,HTTP Flood,26.18,7,Mitigated
December,2025-02-20 18:08:00,202.136.80.254,Web-Gateway-2,HTTP Flood,27.81,6,Mitigated
December,2025-02-21 13:51:00,228.95.232.210,Web-Gateway-2,HTTP Flood,53.16,8,Partial
December,2025-02-24 07:54:00,64.112.129.40,Web-Gateway-3,HTTP Flood,29.84,7,Mitigated
January,2025-03-02 12:38:00,77.30.99.240,Web-Gateway-4,SYN Flood,42.66,8,Mitigated
January,2025-03-22 02:48:00,136.53.95.146,Web-Gateway-3,UDP Flood,19.31,8,Mitigated
January,2025-03-12 07:35:00,39.32.202.20,Web-Gateway-3,UDP Flood,26.51,7,Mitigated
January,2025-03-19 03:31:00,139.109.101.249,Web-Gateway-4,UDP Flood,38.48,6,Mitigated
January,2025-03-09 16:58:00,63.88.132.25,Web-Gateway-4,UDP Flood,24.29,9,Partial
January,2025-03-17 23:04:00,196.190.81.204,Web-Gateway-1,UDP Flood,19.08,13,Partial
January,2025-03-25 16:33:00,161.254.24.24,Web-Gateway-1,SYN Flood,36.62,8,Mitigated
January,2025-03-12 20:21:00,181.101.192.252,Web-Gateway-1,SYN Flood,20.49,9,Partial
January,2025-03-07 09:51:00,20.189.153.122,Web-Gateway-1,SYN Flood,22.34,5,Mitigated
January,2025-03-23 02:35:00,11.121.182.208,Web-Gateway-2,UDP Flood,41.41,6,Mitigated
January,2025-03-11 04:35:00,218.230.20.27,Web-Gateway-2,SYN Flood,18.33,8,Mitigated
January,2025-03-01 06:51:00,104.93.43.235,Web-Gateway-5,SYN Flood,28.94,8,Mitigated
January,2025-03-18 21:24:00,109.214.242.186,Web-Gateway-2,SYN Flood,18.74,5,Mitigated
January,2025-03-25 15:05:00,226.181.68.115,Web-Gateway-2,UDP Flood,35.95,7,Mitigated
January,2025-03-01 15:23:00,132.70.115.128,Web-Gateway-2,UDP Flood,31.56,3,Mitigated
January,2025-03-18 06:48:00,87.233.234.53,Web-Gateway-2,UDP Flood,27.59,7,Mitigated
January,2025-03-23 14:13:00,187.179.82.32,Web-Gateway-4,SYN Flood,21.71,7,Mitigated
January,2025-03-07 09:04:00,93.31.180.218,Web-Gateway-2,SYN Flood,31.79,6,Mitigated
January,2025-03-02 18:41:00,144.103.70.179,Web-Gateway-3,UDP Flood,26.41,10,Partial
January,2025-03-05 05:42:00,88.127.21.197,Web-Gateway-5,UDP Flood,43.25,9,Partial
January,2025-03-06 03:50:00,136.249.250.207,Web-Gateway-1,SYN Flood,20.08,11,Partial
January,2025-03-21 21:02:00,226.33.128.136,Web-Gateway-2,SYN Flood,38.44,9,Partial
January,2025-03-24 01:50:00,217.141.41.109,Web-Gateway-1,UDP Flood,29.56,9,Partial
January,2025-03-20 11:45:00,27.110.44.9,Web-Gateway-4,SYN Flood,28.61,9,Partial
January,2025-03-28 07:50:00,147.79.100.11,Web-Gateway-5,UDP Flood,25.77,9,Partial
January,2025-03-02 17:42:00,89.157.96.109,Web-Gateway-2,SYN Flood,40.82,6,Mitigated
January,2025-03-20 22:41:00,146.77.207.53,Web-Gateway-1,UDP Flood,27.38,8,Mitigated
January,2025-03-08 10:57:00,135.135.250.141,Web-Gateway-3,UDP Flood,40.31,11,Partial
January,2025-03-23 17:57:00,124.35.248.215,Web-Gateway-5,SYN Flood,30.53,8,Mitigated
January,2025-03-19 21:42:00,61.123.223.137,Web-Gateway-3,UDP Flood,27.72,7,Mitigated
January,2025-03-22 22:10:00,14.250.86.80,Web-Gateway-4,UDP Flood,41.9,8,Mitigated
January,2025-03-07 08:56:00,229.177.45.238,Web-Gateway-1,SYN Flood,19.22,10,Partial
January,2025-03-20 03:03:00,59.168.112.210,Web-Gateway-3,UDP Flood,38.73,6,Mitigated
January,2025-03-08 01:17:00,214.146.165.184,Web-Gateway-5,UDP Flood,24.77,6,Mitigated
January,2025-03-20 07:00:00,43.247.67.243,Web-Gateway-3,SYN Flood,28.35,9,Partial
January,2025-03-16 00:52:00,244.140.86.135,Web-Gateway-2,SYN Flood,24.74,7,Mitigated
January,2025-03-17 09:11:00,9.76.10.47,Web-Gateway-1,UDP Flood,34.31,8,Mitigated
January,2025-03-13 06:59:00,107.91.37.233,Web-Gateway-1,UDP Flood,23.3,7,Mitigated
January,2025-03-24 06:15:00,104.226.251.104,Web-Gateway-2,SYN Flood,35.86,7,Mitigated
January,2025-03-19 14:01:00,232.253.181.68,Web-Gateway-3,SYN Flood,24.98,7,Mitigated
January,2025-03-17 19:42:00,53.249.59.43,Web-Gateway-4,UDP Flood,42.36,9,Partial
January,2025-03-04 20:33:00,53.1.129.92,Web-Gateway-1,UDP Flood,20.28,9,Partial
January,2025-03-08 07:57:00,105.251.213.222,Web-Gateway-1,SYN Flood,26.69,6,Mitigated
January,2025-03-28 03:28:00,169.54.250.202,Web-Gateway-2,UDP Flood,43.86,4,Mitigated
January,2025-03-06 03:43:00,201.230.126.161,Web-Gateway-2,SYN Flood,35.84,6,Mitigated
January,2025-03-02 09:12:00,105.121.59.157,Web-Gateway-4,SYN Flood,38.86,9,Partial
January,2025-03-12 05:35:00,24.105.240.7,Web-Gateway-2,SYN Flood,37.88,7,Mitigated
January,2025-03-21 16:30:00,225.82.112.146,Web-Gateway-3,UDP Flood,26.34,4,Mitigated
January,2025-03-24 06:13:00,139.233.14.205,Web-Gateway-2,SYN Flood,26.81,6,Mitigated
January,2025-03-09 05:07:00,13.159.46.188,Web-Gateway-1,UDP Flood,30.57,6,Mitigated
January,2025-03-25 18:57:00,248.118.35.131,Web-Gateway-5,SYN Flood,33.76,10,Partial
January,2025-03-12 12:10:00,97.86.79.103,Web-Gateway-2,UDP Flood,37.04,10,Partial
January,2025-03-03 14:56:00,142.49.79.99,Web-Gateway-5,UDP Flood,28.07,4,Mitigated
January,2025-03-20 19:57:00,201.40.60.9,Web-Gateway-3,UDP Flood,39.63,3,Mitigated
January,2025-03-23 00:14:00,184.195.49.85,Web-Gateway-2,UDP Flood,30.61,11,Partial
January,2025-03-15 23:29:00,46.175.51.62,Web-Gateway-1,UDP Flood,24.32,7,Mitigated
January,2025-03-02 21:37:00,119.95.88.68,Web-Gateway-5,SYN Flood,40.38,7,Mitigated
January,2025-03-12 04:12:00,137.165.124.250,Web-Gateway-3,UDP Flood,36.93,9,Partial
January,2025-03-03 01:12:00,195.116.56.47,Web-Gateway-5,UDP Flood,43.92,8,Mitigated
January,2025-03-12 00:24:00,132.244.240.147,Web-Gateway-3,UDP Flood,20.16,11,Partial
January,2025-03-21 07:52:00,76.73.106.254,Web-Gateway-5,SYN Flood,42.79,8,Mitigated
January,2025-03-12 11:49:00,76.78.173.35,Web-Gateway-2,UDP Flood,38.29,7,Mitigated
January,2025-03-22 08:04:00,253.98.138.8,Web-Gateway-2,UDP Flood,40.34,3,Mitigated
January,2025-03-04 15:57:00,107.123.87.191,Web-Gateway-4,SYN Flood,38.52,7,Mitigated
January,2025-03-19 03:30:00,180.228.17.116,Web-Gateway-5,UDP Flood,34.43,7,Mitigated
January,2025-03-28 11:30:00,33.95.239.219,Web-Gateway-4,SYN Flood,20.95,12,Partial
January,2025-03-02 10:35:00,137.165.173.253,Web-Gateway-4,SYN Flood,32.35,9,Partial
January,2025-03-12 05:59:00,2.42.240.174,Web-Gateway-1,SYN Flood,21.92,8,Mitigated
